Year,Country,Area,CatchCategory,CATONRaisedOrImported,SeasonType,Season,Fleet,ReportingCategory,MisreportedArea,Caton,OfficialLandings,Usage,Effort,UnitEffort
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,1,OTB_DEF_70-99_0_0_all,"All - reported, nonreported and misreported",,3197,0,,2293,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,1,OTM_SPF_70-99_0_0_all,"All - reported, nonreported and misreported",,16,0,,223,kWd
2000,UK (England),27.7.h,Landings,Imported_Data,Quarter,3,OTM_SPF_32-69_0_0_all,"All - reported, nonreported and misreported",,7000,0,,809,kWd
2000,Ireland,27.7.j,Discards,Imported_Data,Quarter,2,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
2000,Ireland,27.7.d,Discards,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
2000,Netherlands,27.7.d,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,1778353,0,,1711243,kWd
2000,Netherlands,27.7.e,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,425834,0,,1748999,kWd
2000,UK (England),27.7.d,Landings,Imported_Data,Quarter,3,GNS_DEF_all_0_0_all,"All - reported, nonreported and misreported",,112,0,,1,fd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,4,OTB_DEF_70-99_0_0_all,"All - reported, nonreported and misreported",,34,0,,496,kWd
2000,UK (England),27.7.f,Landings,Imported_Data,Quarter,1,GNS_DEF_all_0_0_all,"All - reported, nonreported and misreported",,0,0,,2,fd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,3,MIS_MIS_0_0_0_HC,"All - reported, nonreported and misreported",,2,0,,0,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,2,OTB_DEF_70-99_0_0_all,"All - reported, nonreported and misreported",,4,0,,177,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,"All - reported, nonreported and misreported",,531,0,,0,kWd
